video_id,trending_date,category_id,category,publish_time,views,likes,dislikes,comment_count,ratings_disabled,video_error_or_removed,country
SbOwzAl9ZfQ,17.14.11,24,Entertainment,2017-11-13T06:06:22.000Z,310130,4182,361,1836,False,False,MX
klOV6Xh-DnI,17.14.11,22,People & Blogs,2017-11-13T05:11:58.000Z,104972,271,174,369,False,False,MX
6L2ZF7Qzsbk,17.14.11,25,News & Politics,2017-11-13T17:00:02.000Z,136064,10105,266,607,False,False,MX
hcY52MFWMDM,17.14.11,25,News & Politics,2017-11-13T03:47:10.000Z,96153,378,171,208,False,False,MX
_OXDcGPVAa4,17.14.11,26,Howto & Style,2017-11-13T19:17:48.000Z,499965,57781,681,7428,False,False,MX
Q9kK6NWZR1U,17.14.11,10,Music,2017-11-12T20:17:38.000Z,129645,506,67,239,False,False,MX
c9VTD3n_IDs,17.14.11,22,People & Blogs,2017-11-13T07:00:03.000Z,75197,2277,69,164,False,False,MX
XzULSsZYMRc,17.14.11,25,News & Politics,2017-11-13T06:18:23.000Z,142522,7745,659,0,False,False,MX
uijjYNtl_UM,17.14.11,24,Entertainment,2017-11-12T19:54:12.000Z,371110,20155,912,766,False,False,MX
cOJ68MQm2ac,17.14.11,24,Entertainment,2017-11-12T21:14:44.000Z,1111314,83582,2194,9106,False,False,MX
rZZEeeAVgog,17.14.11,23,Comedy,2017-11-12T19:30:02.000Z,471516,23279,270,494,False,False,MX
kTT472QeJGg,17.14.11,22,People & Blogs,2017-11-13T01:16:16.000Z,220315,17070,7718,1895,False,False,MX
yhdI98_O-Xc,17.14.11,22,People & Blogs,2017-11-13T01:50:12.000Z,127796,13293,216,2318,False,False,MX
7jmJtdqI6YE,17.14.11,24,Entertainment,2017-11-13T04:44:51.000Z,53265,194,41,90,False,False,MX
Dhhp8M5K3UI,17.14.11,24,Entertainment,2017-11-13T04:44:51.000Z,53265,194,41,90,False,True,MX
M16Usa8oqDg,17.14.11,25,News & Politics,2017-11-13T04:21:34.000Z,66073,399,39,109,False,False,MX
OFXU_vrye9w,17.14.11,23,Comedy,2017-11-12T23:20:42.000Z,30274,705,199,125,False,False,MX
238T-LaO_IM,17.14.11,24,Entertainment,2017-11-13T14:00:01.000Z,47789,776,143,308,False,False,MX
KO-QO5QQAyM,17.14.11,17,Sports,2017-11-13T20:40:53.000Z,39857,233,45,324,False,False,MX
7D-swI6qNLM,17.14.11,24,Entertainment,2017-11-13T18:00:01.000Z,217025,26934,201,1277,False,False,MX
WflHonz04Uc,17.14.11,24,Entertainment,2017-11-12T21:12:07.000Z,29667,20,53,10,False,False,MX
d1oYTRYmNHs,17.14.11,23,Comedy,2017-11-12T23:53:41.000Z,667216,28782,1770,3892,False,False,MX
GR1Af3ZG-lE,17.14.11,22,People & Blogs,2017-11-13T12:14:20.000Z,194758,4085,182,531,False,False,MX
y_6rR8yKONo,17.14.11,17,Sports,2017-11-12T22:10:13.000Z,227651,5532,213,662,False,False,MX
Wi3nAYFigpQ,17.14.11,2,Autos & Vehicles,2017-11-12T19:36:40.000Z,28186,15,9,5,False,False,MX
nEAMm3nGxpM,17.14.11,1,Film & Animation,2017-11-13T13:32:23.000Z,7127,37,3,13,False,False,MX
3RITF3vm-KE,17.14.11,24,Entertainment,2017-11-13T13:05:36.000Z,17316,246,21,8,False,False,MX
1i71glG1P5s,17.14.11,25,News & Politics,2017-11-11T18:15:04.000Z,504940,1001,290,232,False,False,MX
6YHkNTRMUL8,17.14.11,25,News & Politics,2017-11-12T20:36:59.000Z,58827,486,35,78,False,False,MX
1ZAPwfrtAFY,17.14.11,24,Entertainment,2017-11-13T07:30:00.000Z,2418783,97202,6148,12711,False,False,MX
VVHWFZqV_mU,17.14.11,24,Entertainment,2017-11-12T18:23:34.000Z,18980,42,86,14,False,False,MX
O1v0F5-Xv68,17.14.11,24,Entertainment,2017-11-13T02:58:55.000Z,16066,78,20,56,False,False,MX
RkTi5_hu-kY,17.14.11,24,Entertainment,2017-11-13T14:56:24.000Z,28098,0,0,22,True,False,MX
AvIh646qPg8,17.14.11,24,Entertainment,2017-11-13T16:59:58.000Z,100349,10699,156,996,False,False,MX
b_U9i0vSZnQ,17.14.11,24,Entertainment,2017-11-13T01:40:54.000Z,43151,2438,58,193,False,False,MX
GZGdFRttWDI,17.14.11,1,Film & Animation,2017-11-13T18:00:01.000Z,142325,12027,165,362,False,False,MX
lHJLYWwzphw,17.14.11,25,News & Politics,2017-11-13T02:32:26.000Z,29887,106,10,18,False,False,MX
0zYvsH3IzTw,17.14.11,10,Music,2017-11-13T15:17:45.000Z,28342,1132,63,113,False,False,MX
cgYhR-3QfhM,17.14.11,22,People & Blogs,2017-11-12T21:00:01.000Z,195613,929,238,92,False,False,MX
N5Ss8TbYnec,17.14.11,22,People & Blogs,2017-11-12T23:07:51.000Z,166050,6820,188,157,False,False,MX
RQMvpa4V2hM,17.14.11,24,Entertainment,2017-11-13T01:00:01.000Z,251933,19078,751,799,False,False,MX
cU2FFwy0eKI,17.14.11,26,Howto & Style,2017-11-13T15:01:45.000Z,14723,2059,24,208,False,False,MX
cTRJYA6dibU,17.14.11,10,Music,2017-11-12T08:30:01.000Z,2529472,56054,1547,3584,False,False,MX
O_jDNNEvvJo,17.14.11,22,People & Blogs,2017-11-13T18:23:39.000Z,8088,118,34,99,False,False,MX
sBmvgi-gd2M,17.14.11,24,Entertainment,2017-11-13T20:00:05.000Z,53340,5266,68,178,False,False,MX
eyskwaltDLs,17.14.11,25,News & Politics,2017-11-13T11:29:54.000Z,18206,227,2,38,False,False,MX
p-EupRWaX9E,17.14.11,24,Entertainment,2017-11-13T17:57:53.000Z,23635,329,164,343,False,False,MX
vawBoPTwFeY,17.14.11,23,Comedy,2017-11-13T19:30:53.000Z,44056,5489,52,244,False,False,MX
Mr2G7PcfXis,17.14.11,24,Entertainment,2017-11-13T09:33:19.000Z,36157,1237,49,52,False,False,MX
9w6dJzxsDD8,17.14.11,22,People & Blogs,2017-11-13T11:30:00.000Z,16437,105,19,5,False,False,MX